unit,sex,age,isced11,geo,time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
PC,T,Y25-64,ED0-2,UK	5.1 	5.2 b	5.0 b	6.0 b	6.0 b	6.6 b	9.4 b	10.3 b	10.5 b	10.3 	10.6 	8.4 b
PC,T,Y25-64,ED3_4,AT	3.9 	4.4 b	4.3 b	4.1 b	3.7 b	3.2 	4.1 	3.9 	3.6 	4.0 	4.3 	4.5 b
PC,T,Y25-64,ED3_4,BE	6.4 	5.9 	6.9 b	6.7 	6.2 	5.7 b	6.5 	6.6 	5.7 b	6.7 	6.8 	7.3 b
PC,T,Y25-64,ED3_4,BG	11.2 b	10.2 	8.2 b	6.8 b	5.0 	3.9 b	5.2 	8.3 	9.2 b	10.2 	11.2 	9.8 b
PC,T,Y25-64,ED3_4,CH	3.1 	3.6 	3.6 b	3.3 	3.0 	2.8 	3.2 	4.1 	3.3 	3.3 	3.6 	3.8 b
PC,T,Y25-64,ED3_4,CY	3.7 	3.5 	4.3 b	3.9 	3.2 	3.0 	4.6 b	5.0 	6.9 	11.2 	14.8 	15.6 b
PC,T,Y25-64,ED3_4,CZ	6.1 b	6.4 	6.2 b	5.5 	4.3 	3.3 	5.4 	6.2 	5.7 b	5.7 	6.1 	5.4 b
PC,T,Y25-64,ED3_4,DE	10.0 	11.0 	11.0 b	9.9 	8.3 	7.2 	7.5 	6.9 	5.7 b	5.3 	5.1 	4.6 b
PC,T,Y25-64,ED3_4,DK	4.1 b	4.8 	4.0 b	2.7 	2.6 b	2.3 	4.8 	6.1 	6.0 	6.2 	5.6 	5.3 b
PC,T,Y25-64,ED3_4,EA17	7.9 	8.3 	8.0 b	7.3 	6.4 	6.1 	7.5 	7.8 	7.7 	8.6 	9.1 	8.8 b
PC,T,Y25-64,ED3_4,EA18	7.9 	8.3 	8.0 b	7.3 	6.4 	6.1 	7.6 	7.9 	7.8 	8.6 	9.1 	8.8 b
PC,T,Y25-64,ED3_4,EA19	8.0 	8.4 	8.1 b	7.3 	6.4 	6.1 	7.7 	8.1 	7.9 	8.7 	9.2 	8.9 b
PC,T,Y25-64,ED3_4,EE	11.0 	9.5 	8.8 b	5.8 	4.5 	5.2 	14.7 	17.8 	11.8 	9.6 	8.9 	7.8 b
PC,T,Y25-64,ED3_4,EL	9.4 	9.8 b	9.6 b	8.9 	8.3 	7.3 	9.3 b	12.8 	17.8 	24.5 	28.1 	27.7 b
PC,T,Y25-64,ED3_4,ES	9.8 	9.2 	7.3 b	6.7 	6.9 	9.2 	15.0 	17.2 	19.0 	21.5 	23.2 	21.6 b
PC,T,Y25-64,ED3_4,EU27	8.3 	8.4 	8.1 b	7.2 	6.1 	5.6 	7.2 	7.8 	7.6 	8.2 	8.5 	8.0 b
PC,T,Y25-64,ED3_4,EU28	8.3 	8.4 	8.1 b	7.2 	6.1 	5.6 	7.2 	7.8 	7.7 	8.2 	8.6 	8.1 b
PC,T,Y25-64,ED3_4,FI	8.9 	8.2 	7.4 b	7.0 	6.1 	5.4 b	7.7 	7.5 	6.9 	7.1 	7.5 	8.1 b
PC,T,Y25-64,ED3_4,FR	6.9 b	7.2 	6.6 b	6.6 	5.9 	5.5 	7.0 	7.1 	7.4 	8.3 	8.5 b	8.7 b
PC,T,Y25-64,ED3_4,HR	12.1 b	12.3 	11.5 b	9.8 b	8.1 	7.2 	8.0 	9.7 b	11.6 	14.6 	15.3 	15.2 b
PC,T,Y25-64,ED3_4,HU	4.8 	4.7 	5.9 b	6.1 	5.9 	6.3 	8.3 	9.5 	9.7 	9.5 	8.8 	6.5 b
PC,T,Y25-64,ED3_4,IE	2.9 	3.2 	3.1 b	3.3 	3.6 b	5.1 	11.3 b	13.8 	15.1 	15.2 	14.0 	11.9 b
PC,T,Y25-64,ED3_4,IS	: bu	3.3 	: bu	1.8 	1.2 	1.4 	5.8 	7.2 	5.4 	4.1 	4.1 	4.0 b
PC,T,Y25-64,ED3_4,IT	5.8 	5.4 b	5.2 b	4.6 	4.1 	4.6 	5.6 	6.0 	5.9 	7.7 	8.9 	9.1 b
PC,T,Y25-64,ED3_4,LT	12.5 	11.3 	8.9 b	6.3 	4.7 	6.2 	15.1 	20.6 	17.8 	15.7 	13.9 	13.2 b
PC,T,Y25-64,ED3_4,LU	2.6 b	3.7 	3.2 b	3.8 	2.8 b	4.9 	3.4 b	3.6 	3.7 	4.2 	5.5 	5.1 b
PC,T,Y25-64,ED3_4,LV	11.0 	11.6 	10.2 b	5.9 	5.5 	7.5 	17.9 	19.6 	16.9 	16.7 	12.5 	11.2 b
PC,T,Y25-64,ED3_4,MK	: 	: 	: 	33.3 	31.2 	29.1 	28.6 	28.9 	28.7 	28.7 	25.8 	25.1 b
PC,T,Y25-64,ED3_4,MT	: u	: bu	: bu	1.8 u	2.3 u	2.0 u	4.3 	3.6 	3.5 b	2.2 	2.8 	2.3 b
PC,T,Y25-64,ED3_4,NL	2.6 	3.9 	4.1 b	3.5 	2.7 	2.1 	2.7 	3.4 b	3.8 	4.6 	6.4 b	6.7 b
PC,T,Y25-64,ED3_4,NO	2.9 b	2.8 	3.5 b	2.4 b	1.3 	1.4 	1.9 	2.4 	2.2 	2.3 	2.3 	2.6 b
PC,T,Y25-64,ED3_4,PL	17.1 b	17.0 b	16.4 b	12.7 	8.7 	6.3 	7.2 	8.9 b	8.7 	9.3 	9.7 	8.6 b
PC,T,Y25-64,ED3_4,PT	5.2 	5.5 b	6.6 b	7.1 	6.8 	6.5 	8.1 	9.7 	11.0 b	14.4 	14.4 	12.6 b
PC,T,Y25-64,ED3_4,RO	6.5 b	6.4 	6.4 b	6.4 	5.5 	4.8 	5.8 	6.5 b	6.3 	5.9 	6.3 	5.8 b
PC,T,Y25-64,ED3_4,SE	4.7 	5.8 	6.0 b	4.8 b	4.0 	3.9 	5.7 	5.9 	4.9 	5.1 	5.2 	5.1 b
PC,T,Y25-64,ED3_4,SI	5.1 	5.0 	5.7 b	5.6 	4.3 	3.5 	5.6 	6.9 	8.2 	8.1 	9.8 	9.7 b
PC,T,Y25-64,ED3_4,SK	13.2 b	15.0 	12.8 b	10.5 	8.6 	7.4 	10.0 	12.3 	11.6 b	11.7 	12.3 	11.3 b
PC,T,Y25-64,ED3_4,TR	: 	: 	: 	7.8 	7.9 	8.0 	11.3 	10.1 	8.0 	7.6 	7.9 	9.1 b
PC,T,Y25-64,ED3_4,UK	3.2 	3.5 b	3.2 b	3.8 b	3.6 b	4.1 b	5.9 b	6.2 b	6.1 b	6.0 	5.8 	4.9 b
PC,T,Y25-64,ED5-8,AT	2.4 	3.3 b	2.9 b	2.8 b	2.6 b	1.9 	2.5 	2.4 	2.5 	2.3 	3.4 	3.7 b
PC,T,Y25-64,ED5-8,BE	3.7 	3.2 	3.7 b	3.7 	3.3 	3.2 b	3.8 	4.0 	3.4 b	3.4 	4.3 	4.2 b
PC,T,Y25-64,ED5-8,BG	6.5 b	5.3 	4.1 b	3.8 b	2.2 	2.1 b	2.9 	4.3 	4.8 b	5.6 	6.1 	5.0 b
PC,T,Y25-64,ED5-8,CH	2.9 	2.8 	2.7 b	2.2 	2.1 	1.8 	2.7 	2.9 	2.6 	2.7 	3.0 	3.2 b
PC,T,Y25-64,ED5-8,CY	3.0 	2.7 	3.6 b	3.5 	2.8 	2.4 	3.5 b	4.6 	5.8 	8.7 	10.9 	10.8 b
PC,T,Y25-64,ED5-8,CZ	1.9 b	1.9 	2.0 b	2.2 	1.5 	1.5 	2.2 	2.5 	2.6 b	2.6 	2.5 	2.6 b
